,Titles,Description,Tags,Date
121,Horimiya,"['hori', 'and', 'miyamura', 'was', 'one', 'of', 'the', 'most', 'toxic', 'relationships', 'ive', 'seen', 'in', 'a', 'while', 'hori', 'is', 'an', 'angry', 'girl', 'with', 'masochistic', 'tendencies', 'but', 'it', 'didnt', 'matter', 'to', 'me', 'the', 'problem', 'started', 'when', 'she', 'forced', 'miyamura', 'to', 'beat', 'her', 'against', 'his', 'will', 'and', 'how', 'did', 'the', 'director', 'show', 'this', 'what', 'a', 'cool', 'guy', 'his', 'schoolmate', 'admires', 'him', 'but', 'the', 'problem', 'is', 'even', 'deeper', 'in', 'another', 'scene', 'horis', 'father', 'asks', 'her', 'not', 'to', 'treat', 'miyamura', 'so', 'badly', 'and', 'not', 'to', 'yell', 'at', 'him', 'and', 'horis', 'reaction', 'yes', 'as', 'usual', 'she', 'said', 'to', 'shut', 'up', 'and', 'continued', 'to', 'rant', 'which', 'she', 'does', 'throughout', 'the', 'series', 'contrary', 'to', 'what', 'the', 'series', 'wanted']",Not Recommended,19-Aug-24
122,"""Oshi no Ko""","['this', 'show', 'is', 'the', 'writing', 'version', 'of', 'gamification', 'gamification', 'is', 'when', 'a', 'games', 'setting', 'is', 'so', 'shallow', 'that', 'instead', 'of', 'immersing', 'the', 'player', 'the', 'player', 'sees', 'it', 'as', 'a', 'series', 'of', 'tasks', 'to', 'be', 'completed', 'i', 'for', 'the', 'life', 'of', 'me', 'cannot', 'see', 'how', 'this', 'show', 'got', 'an', '86', 'it', 'will', 'throw', 'everything', 'at', 'the', 'wall', 'and', 'nothing', 'sticks']",Not Recommended,19-Aug-24
123,Maougun Saikyou no Majutsushi wa Ningen datta,"['episodes', '14', 'earn', 'a', 'place', 'on', 'the', 'watchlist', 'with', 'decent', 'animation', 'and', 'an', 'albeit', 'generic', 'solid', 'standard', 'fantasy', 'anime', 'story', 'episode', '5', 'removes', 'it', 'from', 'your', 'watchlist', 'on', 'its', 'own', 'by', 'bringing', 'the', 'combat', 'animation', 'and', 'tactical', 'execution', 'of', 'important', 'scenes', 'to', 'ruin', 'displaying', 'an', 'unwillingness', 'to', 'invest', 'the', 'necessary', 'funds', 'to', 'followthrough', 'on', 'the', 'goodness', 'not', 'greatness', 'that', 'was', 'episodes', '14', 'episode', '5', 'was', 'sufficient', 'to', 'convince', 'me', 'not', 'to', 'watch', 'further', 'it', 'is', 'unheard', 'of', 'not', 'just', 'rare', 'or', 'super', 'rare', 'unheard', 'of', 'for', 'an', 'anime', 'on', 'crunchy', 'with', 'a', 'review', 'of', '48', 'at', 'the', 'time', 'to', 'air', 'such', 'an', 'abomination', 'it', 'almost', 'immediately']",Not Recommended,19-Aug-24
124,Kimi ni Todoke 3rd Season,"['its', 'a', 'shame', 'to', 'say', 'i', 'only', 'started', 'watching', 'kimi', 'ni', 'todoke', 'after', 'season', '3', 'came', 'out', 'ive', 'always', 'seen', 'scenes', 'of', 'this', 'anime', 'on', 'social', 'media', 'apps', 'but', 'i', 'just', 'never', 'gave', 'it', 'a', 'try', 'for', 'some', 'reason', 'i', 'just', 'know', 'how', 'happy', 'all', 'kimi', 'ni', 'todoke', 'og', 'fans', 'felt', 'when', 'season', '3', 'came', 'out', 'because', 'what', 'i', 'just', 'watched', 'is', 'truly', 'a', 'masterpiece', 'of', 'an', 'anime', 'where', 'do', 'i', 'even', 'begin', 'sawako', 'being', 'able', 'to', 'convey', 'her', 'feelings', 'to', 'everyone', 'made', 'me', 'feel', 'really', 'happy', 'inside', 'let', 'me', 'mention', 'sawako', 'and', 'i', 'share', 'the', 'same', 'mbti', 'personality', 'infp', 'so', 'you', 'cant', 'comprehend', 'how']",Recommended,19-Aug-24
125,Suki demo Kirai na Amanojaku,"['theres', 'a', 'world', 'that', 'is', 'being', 'condensed', 'into', 'such', 'a', 'tiny', 'portion', 'they', 'prioritize', 'the', 'characters', 'over', 'it', 'and', 'that', 'makes', 'the', 'balance', 'of', 'this', 'story', 'tipoff', 'theres', 'a', 'big', 'heart', 'inside', 'but', 'the', 'medium', 'is', 'just', 'too', 'small', 'the', 'story', 'goes', 'into', 'cardiac', 'arrest', 'so', 'often', 'and', 'the', 'main', 'girl', 'i', 'dont', 'like', 'to', 'be', 'mean', 'but', 'she', 'never', 'breaks', 'out', 'of', 'that', 'token', 'flcl', 'manicpixiegirl', 'kind', 'of', 'character', 'that', 'she', 'is', 'the', 'story', 'could', 'benefit', 'so', 'much', 'more', 'if', 'she', 'be', 'less', 'mature', 'less', 'collected', 'and', 'be', 'more', 'akin', 'to', 'her', 'naive', 'age', 'group', 'she', 'just', 'so', 'hard', 'to', 'relate']",Not Recommended,19-Aug-24
126,Utsukushiki Sei no Dendoushi Reirei,"['i', 'was', 'brought', 'to', 'this', 'anime', 'as', 'its', 'one', 'of', 'the', 'earliest', 'with', 'the', 'girls', 'love', 'tag', 'and', 'if', 'youre', 'here', 'for', 'that', '180', 'and', 'walk', 'the', 'frith', 'away', 'dont', 'even', 'go', 'well', 'i', 'wanna', 'watch', 'it', 'for', 'completionism', 'just', 'dont', 'does', 'this', 'anime', 'have', 'glyuri', 'in', 'it', 'yes', 'in', 'the', 'first', 'episode', 'and', 'it', 'features', 'all', 'of', 'the', 'bad', 'tropes', 'we', 'now', 'recognize', 'as', 'being', 'kinda', 'problematic', 'even', 'for', 'anime', 'if', 'youre', 'not', 'coming', 'into', 'it', 'specifically', 'for', 'that', 'its', 'okay', 'to', 'mediocre', 'it', 'has', 'some', 'comedic', 'moments', 'of', 'crass', 'humour', 'and', 'enough', 'spicy', 'scenes', 'to', 'keep', 'you', 'titillated', 'especially', 'if', 'you', 'view', 'it']",Not Recommended,19-Aug-24
127,Kyokou Suiri,"['okay', 'this', 'anime', 'is', 'actually', 'good', 'but', 'my', 'lack', 'of', 'understanding', 'of', 'the', 'world', 'of', 'ghosts', 'yokai', 'in', 'japan', 'makes', 'me', 'a', 'little', 'confused', 'about', 'the', 'story', 'moreover', 'this', 'story', 'has', 'a', 'lot', 'of', 'analysis', 'and', 'needs', 'more', 'focus', 'to', 'understand', 'the', 'story', 'itself', 'i', 'cant', 'say', 'this', 'is', 'a', 'bad', 'anime', 'but', 'its', 'more', 'like', 'not', 'for', 'me', 'im', 'not', 'a', 'japanese', 'person', 'who', 'understands', 'culture', 'and', 'culture', 'especially', 'for', 'this', 'anime', 'taking', 'the', 'theme', 'of', 'japanese', 'ghosts', 'yokai', 'this', 'anime', 'is', 'okay', 'if', 'you', 'want', 'to', 'watch', 'it', 'or', 'not', 'its', 'back', 'to', 'the', 'audience', 'but', 'if', 'you', 'are', 'interested', 'in', 'japanese', 'yokai']",Mixed Feelings,19-Aug-24
128,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,"['this', 'review', 'is', 'tagged', 'for', 'spoilers', 'but', 'theres', 'no', 'plot', 'and', 'the', 'dialogue', 'is', 'a', 'slog', 'to', 'sit', 'through', 'warnings', 'for', 'sexualization', 'of', 'minors', 'implied', 'sa', 'and', 'total', 'wastes', 'of', 'time', 'if', 'you', 'want', 'a', 'good', 'show', 'with', 'good', 'feels', 'angst', 'and', 'wholesome', 'moments', 'go', 'watch', 'toradora', 'maquia', 'when', 'the', 'promised', 'flower', 'blooms', 'is', 'mari', 'okadas', 'first', 'director', 'role', 'and', 'its', 'bad', 'its', 'really', 'bad', 'which', 'is', 'sucks', 'given', 'her', 'credits', 'up', 'to', 'that', 'point', 'the', 'plot', 'moves', 'along', 'arbitrarily', 'and', 'without', 'much', 'cause', 'when', 'they', 'bother', 'to', 'give', 'us', 'any', 'timeskips', 'are', 'abrupt', 'and', 'without', 'setup', 'and', 'characters', 'do', 'things', 'that', 'are', 'entirely', 'out', 'of']",Not Recommended,19-Aug-24
129,Mob kara Hajimaru Tansaku Eiyuutan,"['it', 'was', 'fun', 'the', 'first', 'few', 'episodes', 'but', 'there', 'are', 'few', 'things', 'that', 'has', 'become', 'irrelevant', 'and', 'has', 'made', 'the', 'show', 'kind', 'if', 'a', 'bore', 'took', 'me', '8', 'episodes', 'to', 'actually', 'confirm', 'and', 'to', 'see', 'if', 'these', 'annoying', 'points', 'would', 'actually', 'continue', 'or', 'not', 'these', 'points', 'being', '1', 'too', 'much', 'recycling', 'of', 'frames', 'you', 'can', 'actually', 'count', 'the', 'main', 'attack', 'scenes', 'of', 'both', 'servants', '78', 'times', 'in', 'just', 'one', 'episode', '2', 'excessive', 'repetitive', 'lines', 'too', 'much', 'that', 'youll', 'be', 'aware', 'of', 'those', 'lines', 'once', 'being', 'uttered', 'by', 'the', 'characters', 'multiple', 'times', 'in', 'the', 'most', 'random', 'scene', 'possible', '3', 'poor', 'sceneframe', 'execution', 'some', 'actions', 'of', 'the', 'animation', 'lacks', 'proper']",Not Recommended,19-Aug-24
130,Ningen Shikkaku: Director's Cut-ban,"['first', 'review', 'yay', 'i’m', 'here', 'to', 'review', 'the', 'first', '4', 'episodes', 'of', 'aoi', 'bungaku', 'an', 'anime', 'can’t', 'have', 'the', 'density', 'of', 'a', 'book', 'but', 'it', 'can', 'use', 'others', 'things', 'like', 'music', 'or', 'visuals', 'to', 'convey', 'the', 'feelings', 'it', 'wants', 'im', 'going', 'to', 'be', 'straight', 'with', 'you', 'you', 'won’t', 'like', 'this', 'anime', 'in', 'fact', 'i', 'don’t', 'like', 'it', 'myself', 'but', 'in', 'end', 'i', 'can’t', 'anything', 'other', 'that', 'this', 'is', 'a', 'masterpiece', 'in', 'terms', 'human', 'emotion', 'and', 'feelings', 'so', 'i', 'have', 'a', 'few', 'words', 'to', 'the', 'author', 'osamu', 'dazai', 'thank', 'you', 'for', 'your', 'works', 'and', 'please', 'be', 'happy', 'wherever', 'you', 'are', 'after', 'death', 'if', 'i', 'phrase', 'the', 'story']",Recommended,19-Aug-24
131,Jujutsu Kaisen,"['i', 'never', 'did', 'get', 'why', 'the', 'hype', 'lemmings', 'hurtled', 'themselves', 'over', 'the', 'cliff', 'over', 'this', 'mid', 'garbage', 'i', 'watched', 'all', 'the', 'episodes', 'then', 'came', 'back', 'a', 'couple', 'months', 'later', 'intending', 'to', 'review', 'it', 'frankly', 'i', 'couldnt', 'remember', 'a', 'damned', 'thing', 'about', 'the', 'characters', 'or', 'the', 'plot', 'other', 'than', 'they', 'were', 'the', 'accumulation', 'of', 'over', '40', 'years', 'of', 'every', 'shonen', 'trope', 'and', 'cliche', 'ever', 'puked', 'out', 'by', 'the', 'industry', 'nothing', 'innovative', 'or', 'interesting', 'just', 'move', 'along', 'please', 'nothing', 'to', 'see', 'here', 'the', 'artwork', 'wasnt', 'annoying', 'the', 'animation', 'didnt', 'strike', 'me', 'as', 'exceptional', 'in', 'any', 'way', 'but', 'it', 'had', 'some', 'moments', 'nothing', 'amazing', 'going', 'on', 'with', 'the', 'vas']",Not Recommended,19-Aug-24
132,Brave 10,"['imma', 'be', 'real', 'with', 'yall', 'i', 'only', 'watched', 'one', 'episode', 'i', 'lied', 'and', 'said', 'that', 'i', 'watched', '3', 'episodes', 'in', 'order', 'to', 'review', 'this', 'im', 'just', 'not', 'interested', 'in', 'this', 'show', 'the', 'characters', 'already', 'seem', 'annoying', 'and', 'unappealing', 'the', 'dynamics', 'are', 'just', 'off', 'the', 'characters', 'just', 'seemed', 'like', 'tropes', 'but', 'in', 'a', 'bad', 'way', 'like', 'with', 'black', 'clover', 'it', 'works', 'because', 'it', 'deconstructs', 'the', 'tropes', 'this', 'just', 'no', 'plus', 'the', 'girl', 'and', 'the', 'main', 'guy', 'were', 'annoying', 'the', 'main', 'girl', 'is', 'one', 'of', 'those', 'clumsy', 'and', 'annoying', 'types', 'that', 'are', 'clingy', 'and', 'whiny', 'the', 'main']",Not Recommended,19-Aug-24
133,Uzaki-chan wa Asobitai! Double,"['guys', 'i', 'literally', 'tortured', 'myself', 'by', 'watching', 'all', '13', 'episodes', 'of', 'this', 'mess', 'season', '2', 'was', 'a', 'complete', 'and', 'utter', 'disappointment', 'i', 'thought', 'maybe', 'just', 'maybe', 'the', 'creators', 'would', 'learn', 'from', 'their', 'mistakes', 'in', 'season', '1', 'and', 'actually', 'develop', 'the', 'characters', 'and', 'plot', 'but', 'nope', 'it', 'was', 'more', 'of', 'the', 'same', 'annoying', 'and', 'cringeworthy', 'content', 'shinichi', 'the', 'main', 'character', 'is', 'still', 'a', 'wet', 'blanket', 'who', 'cant', 'even', 'muster', 'up', 'the', 'courage', 'to', 'hold', 'uzakis', 'hand', 'by', 'the', 'end', 'of', 'the', 'series', 'like', 'whats', 'the', 'point', 'of', 'even', 'calling', 'this', 'a', 'romantic', 'comedy', 'if', 'theres', 'no', 'progress', 'whatsoever', 'its', 'just', 'a', 'tease', 'a', 'constant', 'tease', 'that', 'leaves']",Not Recommended,19-Aug-24
134,Make Heroine ga Oosugiru!,"['watching', 'make', 'heroine', 'feels', 'like', 'enduring', 'a', 'slow', 'torturous', 'descent', 'into', 'mediocrity', 'the', 'anime', 'epitomizes', 'the', 'worst', 'aspects', 'of', 'modern', 'storytelling', 'in', 'the', 'industry', 'where', 'the', 'creators', 'seem', 'more', 'concerned', 'with', 'stretching', 'a', 'premise', 'far', 'beyond', 'its', 'natural', 'lifespan', 'than', 'with', 'delivering', 'a', 'coherent', 'engaging', 'narrative', 'what', 'should', 'be', 'an', 'emotionally', 'engaging', 'journey', 'is', 'instead', 'a', 'repetitive', 'hollow', 'experience', 'as', 'the', 'plot', 'drags', 'on', 'with', 'little', 'to', 'no', 'sense', 'of', 'urgency', 'or', 'direction', 'every', 'episode', 'feels', 'like', 'a', 'filler', 'padding', 'out', 'a', 'storyline', 'that', 'seems', 'to', 'be', 'purposefully', 'stalled', 'in', 'an', 'effort', 'to', 'milk', 'the', 'franchise', 'for', 'as', 'long', 'as', 'possible', 'this', 'infuriating', 'trend', 'of']",Not Recommended,19-Aug-24
135,Dead Dead Demons Dededede Destruction (ONA),"['have', 'you', 'ever', 'felt', 'as', 'if', 'the', 'world', 'is', 'crumbling', 'into', 'destruction', 'on', 'this', 'day', 'and', 'age', 'theres', 'a', 'new', 'hardtodefine', 'sense', 'of', 'helplessness', 'we', 'know', 'so', 'much', 'about', 'the', 'world', 'yet', 'feel', 'so', 'powerless', 'to', 'effect', 'any', 'change', 'the', 'looming', 'sense', 'of', 'doom', 'appears', 'to', 'be', 'an', 'inevitable', 'fate', 'a', 'chain', 'reaction', 'of', 'human', 'nature', 'that', 'we', 'can', 'only', 'watch', 'and', 'experience', 'without', 'anyone', 'to', 'point', 'the', 'blame', 'nothing', 'we', 'could', 'do', 'other', 'than', 'living', 'our', 'everyday', 'life', 'this', 'is', 'the', 'setting', 'atmosphere', 'of', 'dead', 'dead', 'demons', 'dededede', 'destruction', 'as', 'you', 'might', 'expect', 'this', 'anime', 'is', 'slow', 'burn', 'the', 'story', 'doesnt']",Recommended,19-Aug-24
136,Sword Art Online,"['a', 'character', 'dies', 'the', 'game', 'device', 'called', 'nervegear', 'will', 'kill', 'the', 'players', 'in', 'real', 'life', 'through', 'their', 'neural', 'connections', 'that’s', 'insanely', 'brutal', 'with', 'about', '4000', 'players', 'dying', 'but', 'the', 'chaos', 'of', 'that', 'isn’t', 'really', 'shown', 'after', 'finishing', 'the', 'game', 'everyone', 'just', 'seems', 'fine', 'and', 'peaceful', 'in', 'the', 'game', 'itself', 'i', 'was', 'curious', 'because', 'of', 'some', 'annoying', 'spoilers', 'i', 'heard', 'about', 'asuna', 'and', 'kirito', 'getting', 'intimate', 'in', 'the', 'game', 'and', 'her', 'making', 'noises', 'of', 'pleasure', 'wtf', 'how', 'could', 'a', 'fake', 'avatar', 'body', 'even', 'do', 'that', 'like', 'can', 'it', 'produce', 'hormones', 'and', 'reproduce', 'like', 'real', 'humans', 'if', 'that’s', 'true', 'then', 'why', 'aren’t', 'there', 'any', 'reports', 'of', 'playeronplayer', 'harassment', 'in', 'this', 'supposedly', 'free', 'world', 'was', 'the', 'stuff', 'people', 'said', 'about', 'asuna', 'and', 'kirito', 'just', 'a', 'lie', 'moving', 'on', 'to', 'season', '2', 'we', 'get', 'this', 'disgusting', 'main', 'character', 'with', 'a', 'personality', 'like', 'someone', 'with', 'mental', 'issues', 'trying', 'to', 'sexually', 'ntr', 'steal', 'asuna', 'yuuki', 'from', 'kirito', 'i', 'dont', 'even', 'want', 'to', 'think', 'about', 'what', 'he', 'mightve', 'done', 'to', 'her', 'body', 'while', 'she', 'was', 'lying', 'unconscious', 'in', 'the', 'hospital—whether', 'he', 'was', 'touching', 'and', 'kissing', 'her', 'all', 'night', 'or', 'whatever', 'just', 'thinking', 'about', 'it', 'makes', 'my', 'heart', 'ache', 'because', 'i', 'absolutely', 'hate', 'stuff', 'like', 'that', 'then', 'we', 'get', 'to', 'the', 'second', 'part', 'where', 'the', 'game', 'changes', 'and', 'we', 'see', 'kirito’s', 'cousin’s', 'feelings', 'for', 'him', 'growing', 'whether', 'she', 'realizes', 'it', 'or', 'not', 'even', 'though', 'kirito', 'changes', 'his', 'avatar', 'it’s', 'still', 'obvious', 'that', 'he’s', 'the', 'same', 'person', 'she', 'loves', 'the', 'second', 'part', 'is', 'pretty', 'bad', 'because', 'the', 'story', 'is', 'driven', 'by', 'that', 'disgusting', 'character', 'i', 'mentioned', 'earlier', 'i’m', 'left', 'wondering', 'if', 'the', 'author', 'just', 'got', 'tired', 'of', 'the', 'leveling', 'and', 'dungeon', 'stuff', 'maybe', 'that’s', 'why', 'the', 'rating', 'didn’t', 'even', 'hit', '75', 'spending', 'years', 'in', 'a', 'fantasy', 'game', 'world', 'would', 'definitely', 'mess', 'with', 'someone’s', 'psychology', 'and', 'personality', 'if', 'i', 'were', 'playing', 'in', 'front', 'of', 'a', 'monitor', 'for', 'hours', 'on', 'end', 'i’d', 'probably', 'go', 'nuts', 'trying', 'to', 'interact', 'with', 'people', 'too', 'that', 'happens', 'to', 'the', 'main', 'character', 'in', 'this', 'series', 'where', 'he', 'starts', 'acting', 'like', 'he’s', 'still', 'in', 'the', 'game', 'like', 'riding', 'an', 'imaginary', 'horse', 'and', 'carrying', 'a', 'kendo', 'sword', 'on', 'his', 'back', 'that’s', 'seriously', 'ridiculous', 'it', 'made', 'me', 'laugh', 'so', 'hard', 'at', 'how', 'crazy', 'this', 'character', 'is', 'lol', 'the', 'animation', 'and', 'visuals', 'are', 'pretty', 'good', 'for', 'an', 'anime', 'that', 'came', 'out', 'in', '2012', 'the', 'dramatic', 'background', 'music', 'also', 'really', 'gets', 'the', 'viewer', 'pumped', 'up', 'and', 'emotional', 'but', 'honestly', 'all', 'of', 'that', 'is', 'too', 'good', 'for', 'a', 'story', 'that’s', 'pretty', 'much', 'trash', 'the', 'female', 'characters', 'are', 'made', 'super', 'cute', 'and', 'attractive', 'but', 'there’s', 'no', 'harem', 'genre', 'here—it', 'just', 'leads', 'to', 'a', 'bunch', 'of', 'girls', 'around', 'the', 'main', 'character', 'getting', 'hurt', 'score', '710']",Recommended,19-Aug-24
137,Naze Boku no Sekai wo Daremo Oboeteinai no ka?,"['the', 'only', 'review', 'youll', 'ever', 'need']",Recommended,19-Aug-24
138,Plastic Memories,"['i', 'actually', 'cried', 'several', 'times', 'today', 'watching', 'this', 'show', 'laughed', 'hysterically', 'died', 'of', 'cringe', 'and', 'had', 'a', 'great', 'time', 'its', 'very', 'profound', 'and', 'makes', 'you', 'think', 'about', 'your', 'own', 'life', 'it', 'invokes', 'a', 'lot', 'of', 'self', 'reflection', 'and', 'just', 'it', 'hits', 'man', 'actual', 'tears', 'i', 'didnt', 'know', 'a', 'should', 'could', 'hit', 'me', 'like', 'this', 'not', 'even', 'once', 'like', 'i', 'cried', 'several', 'times', 'such', 'a', 'good', 'story', 'the', 'art', 'was', 'amazing', 'the', 'va', 'work', 'was', 'really', 'well', 'done', 'whether', 'other', 'people', 'like', 'this', 'show', 'or', 'not', 'is', 'fine', 'but', 'i', 'think', 'everyone', 'should', 'at', 'least', 'try', 'and', 'watch', 'it', 'cause', 'it', 'might', 'just', 'hit', 'you', 'as', 'hard', 'as', 'it', 'hit', 'me']",Recommended,19-Aug-24
139,5-toubun no Hanayome Movie,"['this', 'movie', 'is', 'the', 'logical', 'conclusion', 'for', 'the', 'series', 'at', 'least', 'prior', 'to', 'announcing', 'that', 'the', 'mangaka', 'will', 'create', 'an', 'animeoriginal', 'extension', 'of', 'the', 'manga', 'during', 'fuutarous', 'honeymoon', 'with', 'yotsuba', 'yes', 'fuutarou', 'has', 'chosen', 'yotsuba', 'i', 'would', 'have', 'preferred', 'a', 'different', 'girl', 'and', 'many', 'dislike', 'that', 'he', 'has', 'chosen', 'yotsuba', 'but', 'its', 'not', 'the', 'movies', 'issue', 'personally', 'i', 'initially', 'hated', 'nino', 'the', 'most', 'but', 'her', 'transformation', 'from', 'this', 'foulmouthed', 'girl', 'to', 'this', 'sweet', 'and', 'lovely', 'girl', 'is', 'beautiful', 'i', 'would', 'have', 'no', 'objection', 'if', 'she', 'were', 'chosen', 'and', 'this', 'is', 'coming', 'from', 'someone', 'who', 'prefers', 'itsuki', 'the', 'most', 'with', 'miku', 'a', 'close', 'second', 'we', 'all', 'know']",Mixed Feelings,19-Aug-24
140,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,"['the', 'main', 'strong', 'points', 'are', 'the', 'really', 'great', 'music', 'by', 'honeyworks', 'the', 'great', 'caracter', 'development', 'the', 'great', 'animation', 'which', 'will', 'satisfy', 'the', 'boys', 'and', 'the', 'girls', 'the', 'story', 'falls', 'into', 'some', 'clichés', 'sometimes', 'but', 'its', 'almost', 'always', 'the', 'fact', 'with', 'this', 'genre', 'of', 'anime', 'so', 'i', 'dont', 'understand', 'why', 'the', 'rating', 'is', 'only', '75', 'really', 'its', 'nonsense', 'in', 'my', 'opinion', 'the', 'plot', 'is', 'mixed', 'with', 'good', 'humor', 'overall', 'its', 'a', 'light', 'show', 'to', 'watch', 'also', 'the', 'mc', 'is', 'lovely', 'naive', 'and', 'kind', 'hearted', 'watching', 'her', 'is', 'like', 'drinking', 'a', 'sweet', 'coca', 'milk', 'and', 'looking', 'through', 'your', 'window', 'on', 'a', 'winter', 'night', 'she', 'warmed', 'my', 'heart', 'more']",Recommended,19-Aug-24
141,Kami no Tou: Ouji no Kikan,"['this', 'season', 'of', 'tower', 'of', 'god', 'is', 'absouletly', 'bs', 'art', 'style', 'looks', 'like', 'literally', 'cartoon', 'characters', 'reactions', 'looks', 'like', 'cartoon', 'everything', 'is', 'predictable', 'i', 'enjoyed', 'sum', 'scenes', 'from', 'previous', 'episodes', 'but', 'this', 'season', 'is', 'cant', 'comparable', 'with', 'the', 'first', 'one', 'i', 'waited', 'for', '4', 'whole', 'years', 'for', 'this', 'i', 'didnt', 'want', 'to', 'write', 'that', 'but', 'its', 'really', 'bad', 'i', 'dont', 'know', 'where', 'story', 'will', 'head', 'to', 'ill', 'probably', 'watch', 'it', 'till', 'it', 'ends', 'because', 'i', 'dont', 'drop', 'animes', 'in', 'mid', 'way', 'hope', 'itll', 'get', 'better', 'in', 'time', 'and', 'i', 'hate', 'that', 'fire', 'throwing', 'girl', 'should', 'i', 'go', 'watch', 'the', 'manhwa', 'instead']",Mixed Feelings,19-Aug-24
142,Mo Dao Zu Shi,"['mdzs', 'is', 'the', 'perfect', 'intersection', 'between', 'mystery', 'romance', 'chinese', 'historical', 'drama', 'and', 'tragedy', 'plot', '1010', 'mdzs', 'is', 'based', 'off', 'of', 'mxtx’s', 'novels', 'of', 'the', 'same', 'name', 'this', 'author', 'has', 'a', 'gift', 'for', 'weaving', 'complex', 'worlds', 'and', 'storytelling', 'between', 'past', 'and', 'present', 'i', 'liked', 'the', 'structure', 'of', 'the', '3', 'seasons', 'it', 'made', 'it', 'easy', 'to', 'follow', 'for', 'such', 'a', 'complex', 'story', 'that', 'said', 'i', 'will', 'admit', 'i', 'had', 'a', 'notebook', 'of', 'all', 'the', 'characters', 'and', 'places', 'each', 'character', 'has', 'both', 'an', 'official', 'character', 'and', 'courtesy', 'name', 'it', 'may', 'require', 'a', 'little', 'bit', 'of', 'effort', 'on', 'the', 'viewer’s', 'part', 'to', 'keep', 'track', 'of', 'everyone', 'but', 'again', 'this']",Recommended,19-Aug-24
143,Hazurewaku no "Joutai Ijou Skill" de Saikyou ni Natta Ore ga Subete wo Juurin suru made,"['this', 'seems', 'like', 'your', 'average', 'isekai', 'anime', 'at', 'the', 'start', 'but', 'there', 'is', 'one', 'thing', 'that', 'makes', 'it', 'unique', 'the', 'mc', 'is', 'an', 'evil', 'person', 'a', 'psycopath', 'to', 'some', 'extent', 'or', 'they', 'at', 'least', 'try', 'to', 'make', 'him', 'out', 'to', 'be', 'one', 'to', 'have', 'an', 'evil', 'mc', 'is', 'pretty', 'rare', 'in', 'anime', 'and', 'very', 'refreshing', 'imo', 'overlord', 'is', 'probably', 'the', 'most', 'similar', 'in', 'that', 'aspect', 'however', 'there', 'is', 'one', 'giant', 'issue', 'the', 'animation', 'is', 'bad', 'they', 'use', 'cgi', 'a', 'lot', 'and', 'it', 'is', 'so', 'obvious', 'in', 'like', '80', 'of', 'the', 'scenes', 'it', 'was', 'bad', 'enough', 'in', 'many', 'scenes', 'that', 'it', 'was', 'all', 'i']",Recommended,19-Aug-24
144,Occultic;Nine,"['non', 'spoiler', 'review', 'overall', 'opinion', 'great', 'concept', 'but', 'terrible', 'execution', 'recommendation', 'watch', 'the', 'anime', 'only', 'if', 'you', 'like', 'all', 'your', 'characters', 'speak', 'like', 'they', 'are', 'in', 'a', 'rap', 'battle', 'while', 'random', 'images', 'passed', 'by', 'or', 'you', 'read', 'the', 'light', 'novel', 'and', 'want', 'a', 'closure', 'as', 'the', 'ln', 'is', 'incomplete', 'plot', 'the', 'only', 'good', 'aspect', 'of', 'the', 'anime', 'is', 'the', 'overall', 'plot', 'but', 'the', 'audience', 'dont', 'get', 'to', 'enjoy', 'it', 'as', 'the', 'anime', 'compressed', 'three', 'volumes', 'of', 'the', 'ln', 'to', '89', 'episodes', 'and', 'the', 'first', 'novel', 'is', 'mostly', 'covered', 'in', '12', 'episodes', 'all', 'the', 'plot', 'twists', 'and', 'story', 'points', 'are', 'sped', 'through', 'which', 'makes', 'their', 'impact', 'lessened', 'the', 'anime']",Mixed Feelings,19-Aug-24
145,Madlax,"['madlax', 'is', 'a', 'bizarre', 'show', 'being', 'the', 'second', 'entry', 'in', 'studio', 'bee', 'trains', 'girlswithguns', 'trilogy', 'it', 'does', 'little', 'to', 'differentiate', 'itself', 'from', 'noir', 'the', 'first', 'in', 'the', 'series', 'their', 'premises', 'are', 'similar', 'as', 'are', 'many', 'plot', 'points', 'and', 'characters', 'even', 'the', 'shoddy', 'action', 'with', 'girls', 'flipping', 'gracefully', 'through', 'the', 'air', 'firing', 'with', 'their', 'airs', 'closed', 'and', 'forlorn', 'expressions', 'getting', 'hit', 'by', 'none', 'of', 'the', 'other', 'characters', 'even', 'thats', 'basically', 'the', 'same', 'thing', 'as', 'noir', 'i', 'mention', 'this', 'because', 'i', 'think', 'if', 'you', 'were', 'able', 'to', 'put', 'up', 'with', 'the', 'many', 'pitfalls', 'of', 'noir', 'you', 'will', 'be', 'able', 'to', 'put', 'up', 'with', 'the', 'same', 'in', 'madlax']",Mixed Feelings,18-Aug-24
